city,district,front,size,property_age,bedrooms,bathrooms,livingrooms,kitchen,garage,driver_room,maid_room,furnished,ac,roof,pool,frontyard,basement,duplex,stairs,elevator,fireplace,price
 الرياض,   حي عليشة ,شمال,325,12,5,4,2,1,0,0,1,0,1,0,0,0,0,0,1,0,0,50000
 الرياض,   حي الرمال ,غرب,310,0,7,4,1,1,1,0,0,0,0,1,0,1,0,1,1,0,1,56000
 الرياض,   حي السليمانية ,غرب,220,9,4,4,3,1,1,0,1,0,1,0,0,1,0,1,1,0,0,90000
 الرياض,   حي الملك فيصل ,غرب,250,15,7,5,2,1,0,0,1,0,1,0,0,1,0,1,1,0,0,40000
 الرياض,   حي الملقا ,شرق,200,3,5,5,5,1,1,1,1,0,0,1,1,1,0,0,1,0,0,85000
 الرياض,   حي الرمال ,شرق,298,0,3,4,2,1,0,0,1,0,0,0,0,1,0,0,1,0,1,45000
 الرياض,   حي الرمال ,جنوب,300,0,6,5,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,40000
 الرياض,   حي النرجس ,شرق,250,0,4,5,2,1,1,1,1,0,1,1,0,1,0,0,1,0,0,90000
 الرياض,   حي العقيق ,جنوب,300,6,4,5,3,1,1,1,1,0,1,0,0,1,1,1,0,0,0,120000
 الرياض,   حي الورود ,شمال شرقي,580,20,7,5,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,150000
 الرياض,   حي النرجس ,شرق,230,0,3,5,2,1,1,1,1,0,1,0,0,1,0,0,1,0,0,90000
 الرياض,   حي حطين ,شمال,460,0,5,5,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,400000
 الرياض,   حي الملقا ,شرق,228,0,4,5,2,1,1,1,1,0,1,0,0,1,0,1,1,0,0,150000
 الرياض,   حي العارض ,شمال,200,4,5,5,2,1,1,1,1,1,1,1,0,1,0,1,1,0,1,110000
 الرياض,   حي الياسمين ,شمال شرقي,350,4,5,5,2,1,1,1,1,0,1,0,0,1,0,0,1,0,1,125000
 الرياض,   حي السليمانية ,جنوب غربي,300,7,4,3,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,125000
 الرياض,   حي العارض ,شمال,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
 الرياض,   حي المناخ ,شمال,600,5,7,5,5,1,0,0,0,0,0,0,0,1,0,0,1,0,0,140000
 الرياض,   حي الحزم ,شرق,298,0,5,5,3,1,1,0,1,0,0,1,0,1,0,1,1,0,0,50000
 الرياض,   حي الرمال ,شمال,300,0,4,5,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,45000
 الرياض,   حي العارض ,جنوب,300,0,4,5,2,1,1,1,1,0,1,0,0,1,0,0,1,0,0,85000
 الرياض,   حي البديعة ,شمال,1600,35,5,5,5,1,1,1,1,0,0,1,0,1,0,0,1,0,0,70000
 الرياض,   حي النرجس ,شرق,250,0,4,5,2,1,1,1,1,0,1,1,0,1,0,0,1,0,0,90000
 الرياض,   حي العارض ,شرق,375,3,5,5,2,1,1,1,1,1,1,1,0,1,0,0,1,0,1,110000
 الرياض,   حي الشهداء ,شرق,300,15,7,5,2,0,1,1,1,0,0,0,0,1,0,1,1,0,0,50000
 الرياض,   حي الروضة ,غرب,3000,19,3,5,5,1,1,1,1,1,1,0,1,1,1,0,0,0,0,250000
 الرياض,   حي قرطبة ,شرق,312,10,4,5,2,1,0,1,1,0,1,0,0,1,0,0,1,0,1,85000
 الرياض,   حي الصحافة ,غرب,350,2,5,5,2,1,0,1,1,0,1,0,0,1,1,0,1,0,1,90000
 الرياض,   حي العريجاء الغربية ,3 شوارع,1600,4,5,5,3,1,1,1,1,0,0,1,0,1,0,0,0,0,0,250000
 الرياض,   حي العارض ,جنوب,300,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85000
 الرياض,   حي المونسية ,شرق,253,5,4,5,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,50000
 الرياض,   حي النفل ,غرب,500,0,7,5,2,1,1,1,1,0,1,0,0,1,0,0,1,0,0,160000
 الرياض,   حي القدس ,جنوب,1000,25,5,5,3,1,1,1,1,0,1,1,1,1,1,0,1,0,1,160000
 الرياض,   حي العارض ,شمال,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
 الرياض,   حي الروضة ,غرب,300,0,4,4,2,1,1,0,1,0,1,0,0,1,0,0,1,0,0,85000
 الرياض,   حي الروضة ,جنوب,352,30,7,5,2,1,1,0,1,0,1,1,0,1,0,0,1,0,1,80000
 الرياض,   حي المونسية ,شرق,225,0,4,3,2,1,1,0,1,0,1,0,0,1,0,0,1,0,0,100000
 الرياض,   حي السليمانية ,شمال,200,8,4,5,2,1,1,1,1,0,0,0,0,0,0,1,0,0,0,90000
 الرياض,   حي السليمانية ,جنوب,220,8,4,4,3,1,1,0,1,0,1,0,0,1,0,0,1,0,0,90000
 الرياض,   حي العارض ,جنوب,300,0,4,5,2,1,1,1,1,0,1,0,0,0,0,0,1,0,0,85000
 الرياض,   حي الرمال ,شمال شرقي,280,0,5,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,42000
 الرياض,   حي الملك فهد ,شرق,270,30,3,5,3,1,1,1,1,0,1,0,0,1,0,1,1,0,0,70000
 الرياض,   حي العزيزية ,جنوب,312,4,5,5,2,1,1,0,1,1,1,0,0,1,0,0,1,1,0,90000
 الرياض,   حي حطين ,شمال,400,0,4,5,3,1,1,1,1,1,1,0,1,1,0,0,1,0,0,400000
 الرياض,   حي الواحة ,شرق,375,11,4,5,3,1,1,1,1,0,1,0,0,1,0,0,0,0,0,95000
 الرياض,   حي النرجس ,شمال,300,0,5,5,3,1,1,1,1,0,0,1,0,1,0,0,0,1,1,120000
 الرياض,   حي ظهرة لبن ,شرق,450,3,7,5,2,0,1,0,0,0,0,0,0,1,0,0,1,0,1,60000
 الرياض,   حي النسيم الشرقي ,شمال,200,7,3,5,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,31000
 الرياض,   حي القادسية ,شمال,384,0,5,5,2,1,1,1,1,0,0,1,0,0,0,0,1,0,1,80000
 الرياض,   حي القادسية ,غرب,250,0,5,5,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,55000
 الرياض,   حي الروضة ,شمال,686,25,5,5,3,1,1,1,1,0,1,1,1,1,1,0,1,0,1,150000
